SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;NN_MORADORES_ANALISE;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y;CD_SETOR_ORIGINAL;CD_SETOR;NN_MEDIA_CONSUMO;NN_CONSUMO_DIARIO;TP_COMPORTAMENTO;VL_RENDA_MEDIA_RESPONSAVEL;NN_MEDIA_MORADORES_IBGE
1F4DE71EB43D7C94E7D1AC1D42DBEDFCAA9A07965F80774969200D763E90F4FF;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.932374962131632;-38.36445425158578;568939.3399351125;8570257.083841138;292740805090326;S098;20.333333333333332;222.2222222222222;PERDULARIO;1712.43;2.8
20A55A274FD5BBCE44A9056B740C1FF5BC7A21B0B18B05E09F094CE74D482FF8;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94002278065908;-38.35980575488612;569441.4779811795;8569410.040273441;292740805090105;S033;0.0;0.0;AMBIENTALISTA;1357.46;2.6
20F5FBA23CDB6D563EA1BC3D52B926BFB624862DACA555131F28C6DC82777657;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938950998050782;-38.36078195363149;569335.8824407625;8569528.835567083;292740805090082;S028;7.25;118.85245901639344;MODERADO;1286.26;2.5
20F84F4DC7EB792CF78EA3B55162B4F723C0A36CF13BC1D0DD6C13137C462F3A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.942030509261905;-38.36197338304323;569205.7941177916;8569188.589009356;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
21060EAAFACEEFD82CFF615FA4620DE71E2EE62624547D1D261D49E56D6AB735;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.940110142262816;-38.35929538801442;569496.8150584263;8569400.240199864;292740805090083;S029;0.0;0.0;AMBIENTALISTA;4271.33;2.4
21075133DB5EA116E90C69723F3EE1C850D38CCEA4E1E2728BE0A7939796018F;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94312780711174;-38.36237626330509;569161.7901760635;8569067.3456625;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
21260CBF485466F5E31E9A8ADE125E99BA266464D6569FCCA48A997ED8B68B1E;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94161318533272;-38.362476292301565;569151.3572788447;8569234.877677292;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
21F8971FFD9EC9CE8DE2E7358EE7F5C84BC48B046786EF9822AF1C1ED616D131;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.940215828649608;-38.36063926659282;569351.010723306;8569388.916803457;292740805090105;S033;5.916666666666667;64.66302367941712;AMBIENTALISTA;1357.46;2.6
2215E4A631471BEA9320CB6061230A5747AA7D0D726A40D24D0B763E74BE7A47;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938548544597614;-38.3579689236437;569641.1345877778;8569572.57972789;292740805090293;S078;5.5;90.1639344262295;AMBIENTALISTA;1634.51;2.4
2307BC1F3152D99B1D024696B8754C587C5D90A3F02E1F4A89033DDECFDB5888;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.945784376360177;-38.36151199927424;569254.8052833958;8568773.31655482;292740805090026;S008;7.5;81.9672131147541;AMBIENTALISTA;2087.65;2.6
244C05F222F00D7808BACF7EDA0E3BFC248D80F0A4636F3135BC3DE7833C4F03;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.93898353983558;-38.35863626042069;569568.6252211316;8569524.654274657;292740805090166;S050;1.5833333333333333;25.956284153005463;AMBIENTALISTA;1452.2;2.5
248EAED9C52DC384211FBD5DA828A969AAFA664BE45D5E431CE7FFAE7E1228EF;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94273503779411;-38.36220935207862;569180.003689222;8569110.73765205;292740805090318;S093;0.0;0.0;AMBIENTALISTA;5134.75;2.9
24CADDB88EFCAD61ECF05BEF490F23C04464A633A864A96073BC22230E27EF11;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.938985065100193;-38.360532343416295;569362.9492245842;8569525.00037108;292740805090033;S015;0.0;0.0;AMBIENTALISTA;1561.82;2.5
25B54E8F52F75DF6C222F337B861C72208A8B000010D0D6F732CA36EE5A6612A;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.941498426589362;-38.36246167777089;569152.9741853102;8569247.565118624;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
25B779040348D69CBBF676ED2357B4A86174BCECBB92158F7F6D056101FAAC29;SALVADOR UMB;RESIDENCIAL;HABITADO;0;2;0;-12.94212853314493;-38.3622132374628;569179.749465988;8569177.813235626;292740805090317;S092;0.0;0.0;AMBIENTALISTA;1791.2;2.4
268763EF88F21C47C32DDDD7B6944873082FBDE3828722E4F658499EAF1E9818;SALVADOR UMB;RESIDENCIAL;HABITADO;0;3;0;-12.94111127953924;-38.361621555007694;569244.2114895337;8569290.153211733;292740805090121;S039;8.0;87.43169398907104;AMBIENTALISTA;1138.01;2.6
